PHONE_NUMBER,ACTIVATION_DATE,DEACTIVATION_DATE
1,1998-09-19,1998-09-20
3,1995-12-05,1995-12-25
1,2000-01-05,2000-01-31
3,1998-05-10,1998-05-25
4,2000-02-27,2000-03-13
1,1999-12-26,2000-01-05
6,1998-12-27,1998-12-29
4,1998-11-01,1998-11-28
10,1996-08-02,1996-08-23
2,1997-06-06,1997-07-04
3,1996-03-12,1996-04-06
9,1996-08-27,1996-09-12
8,1998-12-09,1999-01-08
5,1997-09-25,1997-10-12
7,1998-06-30,1998-07-14
6,1996-12-18,1996-12-19
6,1996-01-08,1996-01-18
8,1996-04-22,1996-05-02
1,1997-12-10,1997-12-12
9,1996-01-02,1996-01-19
2,2000-08-14,2017-12-30
8,1997-07-07,1997-07-28
8,1999-01-20,1999-02-18
8,1999-03-11,1999-03-19
5,1997-12-25,1998-01-22
4,1996-12-08,1996-12-21
6,1997-10-17,1997-11-08
1,1998-08-07,1998-08-23
4,1998-08-30,1998-09-20
3,1997-05-07,1997-05-18
7,1997-04-13,1997-04-27
1,2000-02-18,2000-03-18
3,1996-02-19,1996-03-12
3,1998-10-26,1998-10-29
8,1999-12-21,2017-12-28
9,1997-06-05,1997-06-16
8,1998-10-10,1998-10-14
4,1997-03-03,1997-03-04
10,1998-02-13,1998-02-18
1,2000-06-06,2000-06-20
5,1999-05-31,1999-06-24
7,1996-08-07,1996-08-28
9,1998-10-20,1998-11-08
2,1996-08-09,1996-08-11
3,1998-10-14,1998-10-16
4,2000-06-23,2000-07-14
10,1999-06-16,1999-06-30
4,1998-10-27,1998-11-01
9,1999-07-27,1999-08-16
2,1996-09-07,1996-09-27
4,1997-09-13,1997-09-30
2,1999-07-22,1999-08-10
1,1998-08-23,1998-09-16
10,1996-09-08,1996-10-07
2,1999-09-13,1999-09-23
1,1997-10-12,1997-11-10
9,1996-05-07,1996-05-17
1,1995-12-03,1995-12-09
7,2000-06-23,2000-07-02
1,2000-01-31,2000-02-11
3,1999-12-22,2017-12-29
2,2000-07-01,2000-07-28
9,1998-09-01,1998-09-26
9,1997-06-02,1997-06-05
7,1996-08-28,1996-09-13
6,1995-07-17,1995-07-28
6,1996-03-30,1996-04-20
7,1998-02-12,1998-03-09
4,1998-09-20,1998-10-17
9,1996-06-08,1996-06-20
5,1996-12-25,1997-01-13
2,1997-10-04,1997-10-30
3,1998-09-20,1998-10-14
5,1999-02-22,1999-03-03
4,1999-06-29,1999-07-25
3,1997-07-04,1997-07-05
6,1996-02-18,1996-03-12
6,1999-02-23,1999-03-14
7,1997-06-03,1997-06-20
10,1996-06-15,1996-07-06
8,1996-02-05,1996-02-12
8,1998-04-15,1998-05-09
8,1995-12-21,1996-01-19
1,1996-07-22,1996-08-15
2,1996-06-14,1996-06-22
2,1997-03-16,1997-03-29
5,1996-07-04,1996-07-14
9,1995-12-14,1996-01-02
7,1998-03-09,1998-03-19
10,1998-07-26,1998-08-20
9,1998-11-08,1998-12-03
6,1995-08-31,1995-09-09
7,2000-04-30,2000-05-26
3,1999-11-19,1999-11-26
8,1996-12-23,1997-01-13
5,1999-03-31,1999-04-26
1,1999-08-30,1999-09-13
1,1996-09-13,1996-09-14
7,1998-10-25,1998-11-17
8,1996-02-27,1996-03-09
4,1996-01-13,1996-01-19
4,1996-02-08,1996-03-02
4,1997-07-04,1997-07-24
6,1999-01-19,1999-01-22
3,1995-11-14,1995-11-16
7,1996-06-19,1996-07-03
3,1998-02-17,1998-03-16
10,1998-11-11,1998-12-06
2,1998-11-09,1998-11-29
1,1996-12-16,1997-01-08
4,1998-07-25,1998-08-17
9,1997-01-24,1997-02-19
3,1997-07-11,1997-08-04
9,1996-09-12,1996-09-24
4,1997-11-09,1997-12-07
2,1997-11-02,1997-11-08
4,2000-07-31,2017-12-30
1,1998-06-20,1998-07-12
5,1998-05-04,1998-05-26
3,1998-10-29,1998-11-28
8,1995-11-23,1995-12-21
4,1997-12-12,1997-12-18
1,2000-05-05,2000-05-12
2,1998-11-29,1998-12-23
4,2000-07-22,2000-07-31
6,1998-05-25,1998-06-07
1,1999-12-14,1999-12-26
6,1997-09-17,1997-10-17
6,1997-05-10,1997-05-29
7,1997-07-30,1997-08-04
8,1996-12-15,1996-12-23
8,1997-10-23,1997-10-28
2,1997-01-27,1997-02-26
1,1998-01-10,1998-01-20
10,1997-07-03,1997-07-24
4,2000-01-29,2000-02-27
3,1998-10-16,1998-10-26
4,2000-05-28,2000-06-23
2,1998-04-01,1998-04-22
2,1999-08-10,1999-09-06
5,1998-05-26,1998-06-02
7,1999-08-30,1999-09-11
9,1999-05-16,1999-05-29
10,1998-09-13,1998-09-21
1,1997-01-08,1997-01-26
3,1995-11-25,1995-12-05
9,1997-05-08,1997-06-02
1,1996-10-20,1996-11-18
9,1997-03-20,1997-03-22
1,1998-11-06,1998-11-26
9,1998-10-13,1998-10-20
2,1999-09-23,1999-10-13
10,1999-10-09,1999-10-24
4,2000-03-13,2000-03-24
4,1999-09-07,1999-09-12
5,1999-03-23,1999-03-31
5,1997-11-12,1997-12-02
5,1995-08-21,1995-09-09
6,1996-02-13,1996-02-18
9,1996-05-17,1996-05-26
10,1997-12-24,1997-12-28
10,1997-08-07,1997-08-09
8,1999-12-02,1999-12-21
10,2000-01-28,2000-02-05
4,1995-12-15,1995-12-18
4,1999-08-28,1999-09-07
4,1997-08-20,1997-09-13
5,1998-07-24,1998-08-11
4,1999-07-25,1999-08-13
7,1996-10-25,1996-11-15
3,1997-04-24,1997-05-07
7,1997-11-29,1997-12-05
7,2000-04-04,2000-04-19
9,1995-09-25,1995-10-03
6,1996-01-18,1996-02-13
9,1997-03-22,1997-04-17
4,1998-07-06,1998-07-25
5,1998-08-28,1998-09-27
10,1997-05-11,1997-05-12
3,1997-12-04,1997-12-19
7,2000-07-07,2000-07-15
3,1995-11-16,1995-11-25
9,1999-09-13,1999-09-15
1,1996-01-13,1996-01-24
2,1998-01-08,1998-02-06
2,1999-07-13,1999-07-22
4,1996-05-17,1996-05-25
3,1999-09-28,1999-10-06
6,1999-02-16,1999-02-23
2,2000-04-17,2000-05-01
9,1997-12-30,1998-01-25
1,1996-03-23,1996-04-01
4,1997-12-18,1997-12-31
8,1996-01-19,1996-02-05
8,1999-11-30,1999-12-02
5,1997-04-15,1997-05-07
1,2000-06-20,2017-12-30
10,2000-01-24,2000-01-28
8,1997-10-28,1997-11-10
3,1996-08-01,1996-08-24
3,1998-01-12,1998-01-20
9,1999-04-16,1999-05-16
10,1996-05-19,1996-06-15
2,1996-08-11,1996-09-07
8,1999-08-08,1999-08-28
10,2000-05-14,2000-06-08
1,1999-04-27,1999-05-15
5,1997-09-02,1997-09-25
4,1999-10-01,1999-10-16
5,1995-11-01,1995-11-06
10,1998-09-25,1998-10-01
2,1998-10-02,1998-10-11
7,1998-08-12,1998-08-29
4,1996-12-23,1997-01-11
5,1995-07-06,1995-07-16
4,2000-04-22,2000-05-02
4,1996-12-21,1996-12-23
3,1998-04-15,1998-05-01
10,1997-05-31,1997-06-05
9,1997-12-20,1997-12-22
5,1995-11-18,1995-12-12
5,1998-07-23,1998-07-24
6,1997-05-29,1997-06-12
9,1997-12-25,1997-12-30
7,2000-08-27,2017-12-30
7,2000-03-29,2000-04-04
8,1998-10-14,1998-10-30
3,1996-01-22,1996-02-04
1,1999-05-15,1999-05-27
10,1997-07-24,1997-08-07
6,1997-06-12,1997-06-25
2,1997-05-20,1997-06-06
4,1995-11-28,1995-12-15
10,1997-12-17,1997-12-24
7,1998-08-29,1998-09-17
9,1998-12-03,1998-12-07
8,1996-10-02,1996-10-08
2,1998-08-22,1998-09-04
2,1999-10-30,1999-11-02
2,1999-11-10,1999-11-23
7,2000-07-02,2000-07-07
3,1996-09-17,1996-09-20
5,1997-01-23,1997-02-16
6,1997-06-25,1997-07-18
8,1998-06-09,1998-06-17
3,1996-08-24,1996-09-17
7,1998-01-09,1998-02-04
8,1999-06-19,1999-07-14
5,1999-05-11,1999-05-22
8,1997-07-28,1997-08-20
8,1998-03-23,1998-04-11
5,1999-04-26,1999-05-11
10,2000-05-11,2000-05-14
9,1998-01-25,1998-02-08
10,2000-02-13,2000-02-19
2,2000-02-23,2000-02-29
4,1995-12-18,1996-01-13
6,1996-05-10,1996-05-18
7,1999-08-16,1999-08-18
3,1997-12-19,1998-01-05
10,1999-06-06,1999-06-15
6,1997-07-18,1997-08-06
6,1996-12-20,1997-01-06
1,1996-08-15,1996-09-13
1,2000-02-11,2000-02-18
3,1999-06-27,1999-07-12
8,1998-02-10,1998-02-21
8,1998-10-03,1998-10-10
6,1997-08-06,1997-08-31
5,1997-08-30,1997-09-02
5,1998-06-12,1998-07-11
2,1997-04-10,1997-04-28
8,1999-09-13,1999-09-17
6,1998-06-24,1998-07-06
6,1997-05-09,1997-05-10
10,2000-06-08,2000-06-15
2,1998-12-23,1999-01-15
4,2000-01-16,2000-01-29
1,1996-11-18,1996-12-16
10,1999-08-16,1999-09-15
7,1996-12-02,1996-12-13
5,1995-10-07,1995-11-01
3,1998-08-25,1998-09-20
6,1998-03-08,1998-03-22
3,1996-02-04,1996-02-19
10,1997-03-26,1997-04-15
1,2000-03-18,2000-04-14
8,1998-05-29,1998-06-09
10,1998-01-11,1998-01-22
2,1999-10-13,1999-10-30
8,1998-05-10,1998-05-29
8,1998-06-17,1998-07-03
8,1997-08-20,1997-08-23
2,1998-09-04,1998-10-02
5,1996-05-09,1996-05-24
4,2000-03-24,2000-04-22
9,1997-11-14,1997-11-30
2,1997-03-29,1997-04-09
4,1997-01-26,1997-02-12
4,1997-02-12,1997-03-03
2,1997-04-09,1997-04-10
2,2000-07-28,2000-08-04
6,1995-09-24,1995-10-05
3,1998-01-20,1998-02-17
8,1997-07-06,1997-07-07
5,1995-11-06,1995-11-18
6,1998-03-22,1998-04-21
5,1998-01-22,1998-01-31
8,1999-01-08,1999-01-20
10,1997-06-05,1997-07-03
10,1999-07-25,1999-08-16
2,1997-03-06,1997-03-16
2,1997-12-09,1998-01-08
10,2000-02-05,2000-02-13
4,1996-05-01,1996-05-17
7,1996-11-15,1996-12-02
8,1995-10-25,1995-11-23
7,1999-07-19,1999-08-11
9,1998-07-14,1998-08-12
1,2000-05-12,2000-06-06
3,1998-01-05,1998-01-12
8,1996-11-19,1996-11-23
5,1997-04-10,1997-04-15
2,1996-07-22,1996-08-03
3,1998-11-30,1998-12-28
10,1999-05-18,1999-06-06
8,1999-11-04,1999-11-30
5,1997-10-17,1997-11-12
1,1996-09-14,1996-09-17
1,1996-01-24,1996-02-11
10,1996-07-29,1996-08-02
1,1997-09-14,1997-10-12
2,1998-10-11,1998-11-09
7,1997-07-25,1997-07-30
3,1997-06-01,1997-06-07
1,1998-11-26,1998-11-27
3,1996-12-13,1996-12-25
1,1996-02-25,1996-03-23
4,2000-07-14,2000-07-22
10,1999-06-15,1999-06-16
5,1998-12-27,1999-01-24
9,1995-11-04,1995-11-19
4,1998-08-17,1998-08-30
10,1999-06-30,1999-07-25
5,1997-01-15,1997-01-23
4,1999-04-28,1999-05-25
5,1999-03-03,1999-03-23
10,1997-04-15,1997-05-11
1,1996-04-01,1996-04-22
6,1998-12-29,1999-01-19
8,1999-02-18,1999-03-11
3,1996-09-30,1996-10-22
2,1996-05-07,1996-05-19
2,1999-11-02,1999-11-10
3,1999-10-06,1999-10-17
10,1997-12-09,1997-12-15
9,1997-10-19,1997-11-14
5,1999-05-22,1999-05-31
3,1999-07-12,1999-08-10
8,1998-04-11,1998-04-15
2,1996-06-22,1996-07-22
7,1998-10-22,1998-10-25
8,1999-09-17,1999-10-07
10,1998-08-28,1998-09-13
2,1997-10-30,1997-11-02
6,1996-11-10,1996-11-20
1,1997-08-19,1997-09-14
2,1998-02-06,1998-03-02
1,1997-06-26,1997-07-24
5,1997-12-02,1997-12-25
5,1997-10-12,1997-10-17
3,1996-11-22,1996-12-13
9,1999-09-10,1999-09-13
7,1998-02-04,1998-02-12
3,1997-06-17,1997-07-04
10,1997-12-15,1997-12-17
10,2000-03-19,2000-04-15
10,2000-02-29,2000-03-19
5,1998-04-30,1998-05-04
4,1997-10-28,1997-11-09
7,1997-12-08,1997-12-18
6,1998-05-11,1998-05-25
9,1998-06-08,1998-06-23
6,1996-05-18,1996-05-30
4,1996-09-25,1996-10-16
5,1999-01-24,1999-02-09
5,1998-08-11,1998-08-28
3,1999-11-26,1999-12-22
7,1999-05-29,1999-06-24
8,1996-10-08,1996-11-06
1,1996-01-01,1996-01-13
3,1997-03-25,1997-04-24
3,1998-03-16,1998-04-15
3,1998-05-01,1998-05-10
10,2000-04-15,2000-05-11
2,2000-08-04,2000-08-14
8,1999-10-07,1999-10-18
8,1999-08-28,1999-09-13
8,1997-10-16,1997-10-23
1,1997-12-12,1998-01-02
6,1999-04-07,2017-12-28
1,1999-08-18,1999-08-30
7,1997-06-20,1997-07-01
6,1998-12-06,1998-12-27
7,1999-08-18,1999-08-30
1,1999-05-27,1999-06-19
7,1998-11-17,1998-12-01
9,1999-05-29,1999-06-12
4,1999-08-13,1999-08-28
4,1996-04-01,1996-05-01
8,1996-11-25,1996-12-15
6,1998-06-07,1998-06-24
3,1995-12-25,1996-01-22
2,1996-08-03,1996-08-09
1,1998-01-02,1998-01-10
6,1998-11-20,1998-12-06
10,1998-12-06,1998-12-18
6,1996-03-24,1996-03-30
5,1999-02-09,1999-02-22
9,1995-12-05,1995-12-14
6,1998-07-06,1998-07-12
2,2000-06-04,2000-07-01
5,1995-09-09,1995-09-16
8,1996-11-23,1996-11-25
8,1997-01-14,1997-01-26
5,1995-07-16,1995-08-11
3,1997-06-07,1997-06-17
8,1997-08-23,1997-09-16
5,1996-03-12,1996-03-17
5,1999-06-24,2017-12-29
3,1998-12-28,1999-01-26
5,1996-04-16,1996-05-09
2,1999-09-06,1999-09-13
5,1998-06-02,1998-06-12
5,1995-09-16,1995-10-07
7,1996-08-01,1996-08-07
9,1999-10-12,2017-12-30
6,1996-03-12,1996-03-24
9,1996-08-01,1996-08-27
5,1996-03-17,1996-03-29
9,1996-05-26,1996-06-08
6,1995-05-26,1995-06-11
6,1996-12-19,1996-12-20
1,1998-07-12,1998-08-07
8,1997-06-26,1997-07-06
7,1997-11-04,1997-11-29
6,1998-07-12,1998-07-24
2,1998-03-02,1998-04-01
1,1995-12-09,1995-12-10
9,1996-01-19,1996-02-07
4,1999-09-12,1999-10-01
7,1996-07-03,1996-08-01
6,1998-10-24,1998-10-30
9,1995-10-13,1995-11-04
9,1999-09-15,1999-10-12
9,1997-11-30,1997-12-13
7,1996-09-13,1996-10-07
8,1999-07-14,1999-08-08
10,1996-07-06,1996-07-27
1,1998-09-16,1998-09-19
1,1997-07-24,1997-08-19
10,1999-09-15,1999-09-29
6,1998-04-21,1998-04-28
6,1998-10-30,1998-11-20
7,2000-04-19,2000-04-30
6,1995-07-09,1995-07-17
10,1998-01-22,1998-02-13
6,1996-10-30,1996-11-10
9,1997-04-17,1997-04-29
6,1997-01-06,1997-01-29
6,1995-07-28,1995-08-03
9,1999-04-07,1999-04-16
6,1998-04-28,1998-05-11
4,1999-06-23,1999-06-29
9,1997-10-03,1997-10-19
9,1996-06-20,1996-07-20
4,1999-05-25,1999-06-23
2,1999-01-27,1999-02-15
9,1998-08-12,1998-09-01
9,1997-12-22,1997-12-25
2,1997-11-30,1997-12-09
10,1996-10-07,1996-10-24
7,1997-04-27,1997-04-30
2,2000-04-02,2000-04-17
6,1996-11-20,1996-11-24
1,1996-02-11,1996-02-25
8,1999-10-18,1999-11-04
9,1995-11-19,1995-11-20
3,1996-07-11,1996-08-01
3,1999-10-26,1999-11-19
2,2000-05-31,2000-06-04
9,1997-02-19,1997-03-20
9,1998-06-23,1998-07-14
9,1995-11-20,1995-12-05
5,1996-03-29,1996-04-16
7,1999-09-23,1999-09-30
