PHONE_NUMBER,ACTIVATION_DATE,DEACTIVATION_DATE
943,1995-12-31,1996-01-19
362,1998-03-05,1998-03-26
194,2000-08-20,2000-09-17
662,1997-06-29,1997-07-26
994,1999-01-22,1999-02-05
541,1996-06-12,1996-07-08
859,1997-03-31,1997-04-18
813,1999-01-14,1999-01-20
741,1999-04-08,1999-04-14
733,1996-08-09,1996-08-10
852,1996-04-17,1996-04-18
964,1997-06-03,1997-06-09
418,1997-03-28,1997-03-29
732,1998-02-06,1998-02-26
711,1999-07-20,1999-07-23
550,1998-07-03,1998-07-08
183,2000-02-14,2000-02-16
530,1999-11-04,1999-11-26
425,1998-12-04,1998-12-07
269,1997-04-19,1997-05-12
867,1997-07-27,1997-08-08
509,1999-07-23,1999-08-16
864,1998-12-23,1999-01-14
510,1995-09-24,1995-10-12
58,1999-05-26,1999-06-06
244,1996-01-22,1996-01-31
942,1997-11-06,1997-11-21
4,1997-09-20,1997-09-28
179,1999-09-24,1999-09-28
62,1995-10-21,1995-10-23
997,1997-07-20,1997-08-03
687,1997-07-29,1997-08-03
596,1998-02-12,1998-03-09
69,1999-08-15,1999-08-17
614,1997-05-02,1997-05-30
146,2000-02-06,2000-03-07
501,1998-06-21,1998-07-21
625,1995-07-23,1995-07-27
806,1999-05-22,1999-06-08
938,1995-08-24,1995-09-05
113,1997-08-02,1997-08-23
189,1997-12-22,1998-01-12
82,1997-11-06,1997-11-17
140,1998-02-06,1998-03-03
585,1999-04-24,1999-04-26
548,1998-12-22,1999-01-12
909,1999-07-08,1999-07-31
931,1997-06-22,1997-07-06
975,1998-06-06,1998-06-18
261,1996-07-30,1996-08-28
235,1998-06-08,1998-06-25
617,2000-08-19,2000-09-07
832,1999-05-10,1999-05-13
430,1999-02-06,1999-03-01
839,1999-06-24,1999-07-07
16,1996-12-15,1996-12-31
716,1999-07-15,1999-07-30
486,1997-08-10,1997-08-18
228,1999-10-17,1999-11-15
824,1999-11-01,1999-11-10
212,2000-04-29,2000-05-27
323,1997-10-26,1997-11-08
976,1998-10-18,1998-10-26
250,1999-07-18,1999-08-15
104,1997-07-25,1997-08-20
31,1997-01-08,1997-01-30
561,1996-04-25,1996-05-15
629,1998-12-17,1999-01-08
187,1995-06-09,1995-06-20
281,1998-09-23,1998-10-22
858,1999-09-23,1999-10-03
363,1998-12-20,1998-12-28
55,1997-07-07,1997-07-15
856,1998-10-07,1998-10-30
249,1996-12-19,1997-01-10
865,1997-10-09,1997-11-08
48,1996-07-29,1996-08-23
883,1997-01-17,1997-02-09
104,1997-04-22,1997-05-04
706,2000-01-19,2000-02-16
235,1996-08-22,1996-08-23
498,1999-01-17,1999-01-27
324,1996-12-21,1997-01-11
923,1999-02-13,1999-03-05
299,2000-01-26,2000-02-01
841,1998-01-03,1998-01-18
973,1998-10-07,1998-10-12
813,1999-03-22,1999-04-21
778,1997-10-06,1997-10-31
161,1999-01-12,1999-01-26
60,1999-03-29,1999-03-30
536,1999-07-16,1999-07-23
169,1999-03-14,1999-03-17
145,1998-08-24,1998-09-06
456,1998-12-12,1998-12-31
931,1996-06-29,1996-07-20
816,2000-01-10,2017-12-29
741,2000-02-05,2000-02-26
632,1995-10-24,1995-11-22
122,1996-11-22,1996-12-19
385,2000-03-06,2000-03-08
314,1998-11-09,1998-11-22
338,1997-12-27,1998-01-26
715,1995-11-01,1995-11-28
560,1999-11-17,1999-11-24
124,2000-04-01,2000-04-18
743,1998-01-28,1998-02-12
198,1998-10-07,1998-10-29
513,1996-01-20,1996-01-21
259,1996-07-29,1996-08-12
135,1998-06-07,1998-06-12
843,2000-06-25,2000-07-22
381,1999-07-14,1999-07-24
637,1995-11-03,1995-11-07
371,1996-08-20,1996-08-25
541,2000-03-11,2000-03-22
515,1998-01-07,1998-02-03
967,1999-04-06,1999-04-26
751,1997-12-29,1998-01-25
81,1997-08-28,1997-09-15
369,1997-06-24,1997-07-03
319,1996-10-03,1996-10-24
300,1997-02-10,1997-02-28
202,1996-12-24,1996-12-30
69,1997-02-02,1997-03-03
284,1996-09-11,1996-09-13
698,2000-01-08,2017-12-29
735,1995-10-18,1995-10-20
506,2000-07-02,2000-07-12
966,1997-01-26,1997-02-01
236,2000-01-05,2017-12-30
23,1997-05-23,1997-06-12
251,1997-04-13,1997-04-22
50,2000-03-01,2000-03-12
152,1999-10-01,1999-10-09
906,1997-03-30,1997-04-05
850,1999-11-15,1999-12-11
681,1996-02-21,1996-03-08
982,1996-10-04,1996-10-12
325,1996-03-16,1996-04-14
177,1996-07-23,1996-08-13
772,1996-06-15,1996-06-20
736,1997-11-03,1997-11-17
751,1998-07-23,1998-08-20
779,1998-09-17,1998-09-27
825,1997-07-01,1997-07-17
377,1996-02-13,1996-02-19
301,1996-12-17,1997-01-06
639,1998-03-19,1998-03-28
912,1999-03-01,1999-03-05
404,1999-04-06,1999-05-06
962,1997-04-12,1997-05-07
659,1997-06-04,1997-06-22
325,1996-12-08,1996-12-28
303,1997-04-09,1997-04-24
242,1997-04-18,1997-05-17
247,1998-06-16,1998-06-25
755,1999-05-30,1999-06-28
456,1999-02-21,1999-03-21
746,1998-05-29,1998-06-09
171,1997-03-25,1997-04-18
560,1997-08-01,1997-08-23
377,1997-08-09,1997-08-12
54,1997-06-12,1997-07-11
128,1999-01-15,1999-01-24
346,1999-08-01,1999-08-25
769,2000-02-08,2000-02-09
708,1997-06-05,1997-06-11
116,1997-05-16,1997-06-03
432,1998-05-08,1998-05-31
262,1997-04-22,1997-04-30
826,1996-12-02,1996-12-06
336,1995-11-06,1995-11-27
859,1999-03-04,1999-03-27
448,1995-09-20,1995-10-09
228,1996-02-20,1996-02-21
112,1996-11-23,1996-12-01
585,1998-06-06,1998-06-25
989,1998-06-03,1998-07-03
607,1996-01-14,1996-02-04
469,1999-05-08,1999-05-31
530,1999-02-19,1999-03-20
989,1996-05-10,1996-05-20
156,1999-04-26,1999-05-22
938,1999-12-10,1999-12-17
79,2000-01-12,2000-02-01
999,1999-04-23,1999-05-14
634,1996-12-28,1997-01-21
89,1999-10-18,1999-11-02
162,1996-03-22,1996-03-29
63,1997-11-13,1997-12-07
884,1996-01-13,1996-01-19
7,1998-04-20,1998-04-26
224,1996-12-23,1997-01-02
238,1995-08-26,1995-09-03
364,1999-03-02,1999-03-31
613,1997-06-11,1997-06-17
312,2000-01-08,2000-02-05
597,2000-06-12,2000-06-22
634,1998-08-04,1998-08-06
466,1998-04-03,1998-04-15
240,1997-04-10,1997-04-11
847,1999-02-19,1999-02-23
155,1995-09-11,1995-10-02
135,1997-10-22,1997-10-25
352,1999-12-12,2000-01-04
938,1998-12-18,1999-01-02
616,1999-12-30,2000-01-08
210,1997-12-29,1998-01-09
915,1997-01-27,1997-02-21
843,1997-05-06,1997-05-22
145,1995-08-17,1995-09-10
785,1998-06-15,1998-06-20
32,1997-02-14,1997-02-21
196,1995-10-19,1995-11-01
534,1996-05-30,1996-06-26
166,1997-08-21,1997-09-13
140,1999-07-10,1999-08-09
265,1996-05-18,1996-05-23
228,1999-12-30,2000-01-02
916,1995-11-02,1995-11-12
59,2000-02-23,2000-02-26
595,1999-04-21,1999-05-07
949,1997-02-14,1997-03-02
884,1998-07-09,1998-08-04
487,2000-01-26,2000-02-23
715,2000-04-09,2000-04-22
409,1997-05-20,1997-06-13
914,2000-06-14,2000-06-24
654,1998-03-26,1998-04-21
248,1999-05-02,1999-05-15
604,1998-02-16,1998-02-18
614,1998-09-24,1998-10-16
597,1998-01-22,1998-02-03
926,1996-06-04,1996-06-16
614,1997-05-30,1997-06-26
963,1997-06-01,1997-06-12
761,1997-04-23,1997-05-23
696,1995-10-10,1995-10-28
48,1995-09-26,1995-10-08
984,2000-02-22,2000-02-23
774,1999-05-29,1999-06-15
73,1995-12-05,1995-12-29
545,1996-05-07,1996-06-04
631,1999-08-04,1999-08-31
434,2000-05-07,2000-05-22
678,1998-01-31,1998-02-15
450,1997-08-30,1997-09-07
225,1996-04-13,1996-04-19
219,1997-02-02,1997-03-02
45,1996-05-01,1996-05-19
483,1999-10-10,1999-10-11
668,1996-01-23,1996-02-17
269,1999-03-31,1999-04-22
231,1995-08-25,1995-09-13
184,1996-12-18,1997-01-03
847,1999-01-08,1999-02-07
385,1999-12-24,1999-12-30
474,1997-04-14,1997-04-17
25,2000-03-26,2000-04-06
625,1999-04-07,1999-04-18
656,1997-09-17,1997-10-06
938,1998-02-25,1998-03-26
350,2000-02-20,2000-03-12
35,1997-09-10,1997-09-27
642,1996-05-23,1996-06-16
933,1997-07-13,1997-08-05
683,1998-04-10,1998-05-04
409,1998-11-30,1998-12-06
271,1999-12-29,2000-01-20
865,2000-03-11,2000-03-23
13,1996-04-19,1996-04-21
90,1998-11-10,1998-11-11
739,1998-03-25,1998-04-23
683,1998-06-10,1998-07-05
775,1996-05-31,1996-06-20
735,1996-08-04,1996-08-30
128,1999-11-14,1999-12-08
836,1997-03-16,1997-04-09
716,2000-06-04,2000-06-25
256,1999-09-01,1999-09-09
329,1996-01-31,1996-02-04
969,2000-04-07,2000-04-14
178,1996-02-26,1996-03-15
831,1999-05-28,1999-06-26
124,1997-05-08,1997-05-11
666,1997-06-13,1997-07-05
599,1996-03-19,1996-04-11
277,1998-08-10,1998-08-15
703,1997-07-24,1997-08-22
61,1999-02-09,1999-02-17
379,1997-05-20,1997-06-15
355,1999-12-20,2000-01-12
497,1997-02-02,1997-02-17
86,1998-10-31,1998-11-05
846,1997-12-06,1998-01-05
519,2000-01-11,2000-01-25
907,1998-05-25,1998-06-13
370,1998-03-27,1998-04-13
712,1996-11-09,1996-12-05
12,2000-03-21,2000-04-05
730,1999-06-14,1999-07-06
995,1997-04-13,1997-04-27
123,1998-09-20,1998-10-06
438,1996-09-15,1996-09-20
988,1998-10-23,1998-11-22
340,1996-01-29,1996-02-20
137,1999-01-24,1999-01-26
181,1997-10-16,1997-10-25
408,2000-02-15,2000-03-06
610,1999-02-10,1999-03-07
692,1999-09-08,1999-09-17
46,2000-02-24,2000-03-07
344,1997-09-18,1997-10-12
127,1996-07-15,1996-07-18
137,1997-10-09,1997-10-15
17,1997-02-13,1997-03-12
76,1996-04-18,1996-05-06
973,1995-12-10,1995-12-14
88,1998-02-01,1998-02-03
589,1998-07-10,1998-07-14
58,1997-11-20,1997-12-07
352,2000-07-31,2000-08-12
514,2000-02-05,2000-02-11
319,1998-03-02,1998-03-10
595,1997-12-11,1998-01-05
600,1999-07-22,1999-08-05
773,1998-12-28,1998-12-31
946,1998-07-22,1998-08-17
882,1998-06-18,1998-06-22
519,1997-05-24,1997-06-05
902,1996-02-03,1996-02-26
434,1996-09-06,1996-09-26
124,1997-04-24,1997-05-08
687,1998-05-02,1998-05-23
262,1999-08-25,1999-09-02
146,1999-07-01,1999-07-18
931,1996-08-19,1996-09-18
335,1996-03-09,1996-03-19
573,1998-02-02,1998-02-21
934,1999-01-01,1999-01-04
789,2000-05-23,2000-06-07
43,1999-03-04,1999-03-05
420,1996-07-18,1996-07-27
911,1999-07-11,1999-07-24
300,1997-12-19,1998-01-14
526,1996-12-29,1997-01-27
99,1996-05-26,1996-06-05
221,2000-04-20,2000-05-15
293,1998-08-16,1998-09-10
847,1996-06-19,1996-06-20
75,1998-06-26,1998-06-29
877,1999-10-08,1999-10-30
855,2000-01-04,2000-01-28
28,1996-08-12,1996-08-19
360,1999-05-07,1999-05-31
148,1999-03-26,1999-04-09
207,1998-10-02,1998-10-20
953,1998-07-02,1998-07-09
829,1998-12-23,1998-12-28
169,1999-03-29,1999-04-06
289,1998-10-01,1998-10-19
791,1996-09-18,1996-10-06
973,1998-05-20,1998-06-07
968,1996-07-14,1996-07-30
682,1996-06-06,1996-06-07
373,1997-09-20,1997-10-20
399,1996-12-13,1996-12-21
437,1997-06-09,1997-06-15
910,1996-06-27,1996-07-27
457,2000-03-29,2000-04-04
310,1997-08-01,1997-08-09
587,1999-11-13,1999-12-07
84,1998-05-30,1998-06-13
266,1997-02-25,1997-03-04
224,1996-11-21,1996-12-07
717,1999-05-04,1999-05-15
930,1999-11-26,1999-12-13
940,1996-12-08,1996-12-22
14,1996-05-07,1996-06-06
531,1998-05-15,1998-05-19
336,1996-03-15,1996-04-13
258,1999-11-18,1999-11-26
322,1996-07-21,1996-07-29
750,1995-11-28,1995-12-09
205,1998-02-10,1998-02-12
582,1996-10-16,1996-11-05
288,2000-05-12,2000-05-25
40,1997-08-07,1997-08-20
803,1999-03-25,1999-04-13
968,1997-06-09,1997-07-01
668,1999-01-11,1999-01-18
438,1998-01-04,1998-01-09
834,1998-12-22,1999-01-09
10,1997-12-02,1997-12-16
681,1998-06-06,1998-06-23
409,1998-10-13,1998-11-10
537,1997-01-28,1997-02-27
504,1998-04-16,1998-05-07
791,1996-05-15,1996-06-02
907,1996-11-08,1996-11-20
628,1997-12-09,1997-12-25
716,1997-03-21,1997-03-28
137,1998-06-23,1998-06-27
284,1997-05-14,1997-05-28
390,1998-12-09,1998-12-22
656,1999-01-14,1999-01-29
884,1996-04-13,1996-05-05
806,1998-09-13,1998-09-24
573,1998-02-21,1998-03-11
352,1997-10-15,1997-10-18
78,1997-11-07,1997-11-22
313,1997-11-12,1997-12-10
6,1999-05-04,1999-05-28
222,1997-08-17,1997-09-07
94,1995-10-24,1995-11-17
422,1997-10-16,1997-10-31
86,1996-07-10,1996-08-02
639,1996-05-17,1996-05-22
331,1998-12-28,1999-01-16
24,1995-08-27,1995-09-18
418,1999-08-21,1999-09-01
989,1996-07-31,1996-08-01
432,1996-05-09,1996-06-03
370,1999-08-02,1999-08-15
618,1998-06-23,1998-07-22
685,1998-11-05,1998-11-11
939,1997-06-23,1997-07-02
957,1999-01-17,1999-02-03
341,1999-12-25,1999-12-28
182,1999-09-02,1999-09-05
836,1998-12-26,1999-01-19
159,1997-02-16,1997-03-11
727,2000-05-22,2000-05-25
227,1995-09-22,1995-10-10
194,1996-05-22,1996-06-02
45,1998-10-04,1998-10-27
514,1996-02-15,1996-03-15
390,1995-10-30,1995-11-04
345,1998-08-30,1998-09-19
666,2000-04-10,2000-04-27
553,1996-10-11,1996-11-03
999,1996-08-20,1996-09-10
29,1997-03-29,1997-04-18
870,2000-02-26,2000-03-10
784,2000-01-18,2000-02-03
37,1995-12-21,1996-01-07
159,1999-03-13,1999-04-10
469,1998-08-26,1998-09-05
113,1996-10-05,1996-10-24
147,2000-07-04,2017-12-29
458,1998-05-06,1998-05-08
158,1999-03-02,1999-03-27
715,1996-01-27,1996-02-21
558,1996-06-05,1996-06-17
110,1998-06-02,1998-06-11
740,1997-03-16,1997-04-01
23,1998-10-10,1998-11-07
421,1995-12-08,1996-01-04
894,1997-10-02,1997-10-22
744,2000-03-15,2017-12-30
178,1998-06-10,1998-06-18
293,1996-04-14,1996-05-12
142,1998-02-12,1998-02-28
509,1997-05-22,1997-06-19
480,1996-04-14,1996-04-30
416,1997-04-18,1997-05-12
22,2000-04-10,2000-04-15
532,1997-04-07,1997-05-06
752,1997-03-02,1997-03-27
577,1997-07-22,1997-08-03
846,1999-06-12,1999-07-12
599,1998-09-15,1998-10-01
221,2000-05-31,2000-06-22
107,1999-02-25,1999-03-23
533,2000-02-15,2000-03-14
777,1999-03-09,1999-03-12
390,1998-12-08,1998-12-09
445,1996-03-08,1996-04-05
396,1996-06-29,1996-07-10
208,1998-08-21,1998-09-18
838,1997-09-07,1997-09-16
562,1998-08-07,1998-08-17
388,2000-07-13,2000-07-21
770,1995-11-10,1995-11-20
482,1998-05-13,1998-05-23
624,1997-10-19,1997-10-25
568,2000-06-21,2000-07-08
520,1999-03-15,1999-04-09
327,1998-12-07,1998-12-23
255,1996-08-21,1996-09-14
746,1999-05-01,1999-05-02
912,1998-04-06,1998-04-27
767,1999-02-04,1999-02-27
233,2000-03-06,2000-03-14
3,1996-09-04,1996-09-21
220,1999-02-22,1999-03-07
545,1997-10-30,1997-11-11
318,1997-04-21,1997-04-29
617,2000-05-26,2000-06-11
364,1996-01-04,1996-02-03
461,1997-06-23,1997-07-07
464,1996-04-04,1996-04-20
136,1996-01-25,1996-02-10
816,1999-08-05,1999-09-03
542,1999-12-30,2000-01-11
530,1999-04-12,1999-04-29
589,1996-04-02,1996-04-08
922,2000-04-19,2017-12-29
751,1996-04-02,1996-05-02
980,1999-04-08,1999-04-19
950,1997-04-22,1997-04-25
362,1998-08-17,1998-08-27
431,1998-06-11,1998-06-19
463,1998-01-23,1998-02-12
255,1999-08-26,1999-09-15
171,1998-06-12,1998-07-12
445,1998-06-10,1998-06-29
797,1997-11-02,1997-11-28
523,1996-04-01,1996-04-10
838,1998-02-09,1998-03-09
1000,1999-09-26,1999-10-03
467,1997-03-26,1997-04-20
853,1996-09-07,1996-09-20
332,1996-09-05,1996-09-23
42,1996-12-19,1996-12-27
145,1996-03-25,1996-03-31
227,1999-07-04,1999-07-11
453,1998-08-28,1998-09-04
162,1999-12-09,1999-12-12
261,1998-09-10,1998-10-08
385,1995-10-10,1995-10-27
944,1999-09-19,1999-10-02
495,1996-07-03,1996-07-06
897,1997-03-04,1997-03-10
731,1998-01-22,1998-02-17
436,1999-07-27,1999-07-29
778,1999-04-30,1999-05-20
644,1996-08-29,1996-09-12
356,1995-09-28,1995-10-05
267,1996-02-06,1996-02-26
476,1997-05-31,1997-06-26
915,1996-12-01,1996-12-21
117,1997-04-20,1997-05-07
164,1999-02-28,1999-03-15
99,1998-09-26,1998-10-08
174,1997-07-06,1997-08-05
768,1995-10-03,1995-10-04
624,1995-12-29,1996-01-02
498,1996-07-31,1996-08-20
892,1999-10-16,1999-11-12
75,1996-02-07,1996-02-27
124,1998-09-09,1998-09-29
532,1998-09-28,1998-10-11
485,1999-08-30,1999-09-08
907,1998-12-22,1999-01-17
436,1996-05-29,1996-06-13
446,1999-05-12,1999-06-02
628,1996-12-06,1996-12-12
146,1996-06-09,1996-06-13
784,1998-10-09,1998-10-27
15,1999-11-06,1999-11-13
51,1996-03-25,1996-04-21
202,1998-04-05,1998-04-21
801,1997-10-21,1997-11-13
871,1997-04-11,1997-05-03
908,1998-09-29,1998-10-17
242,1997-11-05,1997-11-19
957,1998-06-01,1998-06-11
713,1995-12-14,1996-01-03
872,1997-03-21,1997-04-06
206,1998-03-03,1998-03-04
756,1996-04-25,1996-05-06
883,1999-07-03,1999-07-04
17,1997-04-29,1997-05-25
920,2000-01-12,2000-01-14
110,1999-02-10,1999-03-01
185,1997-02-13,1997-03-11
341,1998-08-05,1998-08-13
998,1996-09-22,1996-10-20
468,1997-04-11,1997-04-22
295,1997-10-31,1997-11-03
419,1997-07-23,1997-08-18
762,1996-06-17,1996-07-07
571,1998-06-13,1998-07-03
249,2000-02-05,2000-02-16
748,1997-04-07,1997-04-09
89,1997-12-25,1998-01-21
588,1997-02-20,1997-03-11
654,1997-07-28,1997-08-15
479,1998-05-23,1998-05-27
700,1997-02-20,1997-02-26
268,1998-04-26,1998-05-06
979,1997-06-08,1997-06-28
748,1998-03-18,1998-04-16
340,1998-05-22,1998-06-08
500,1999-11-13,1999-12-07
1,1995-11-09,1995-11-11
892,1996-04-21,1996-05-17
734,1995-09-10,1995-09-17
314,1998-04-19,1998-04-28
368,1997-07-13,1997-08-08
533,1996-01-13,1996-01-28
501,1999-02-10,1999-02-16
153,1996-01-23,1996-02-15
449,1995-10-24,1995-10-28
972,1996-05-01,1996-05-20
919,1997-02-05,1997-02-20
659,1999-08-06,1999-08-09
325,1997-09-07,1997-10-02
68,1995-11-07,1995-11-21
269,1998-04-10,1998-04-18
434,1996-05-03,1996-05-06
192,1998-12-24,1999-01-22
94,1995-09-11,1995-09-13
941,1996-07-08,1996-07-23
393,1997-10-19,1997-11-09
37,1996-07-28,1996-08-14
807,1998-12-10,1998-12-17
744,1997-08-22,1997-09-15
440,1996-01-15,1996-01-16
363,1995-12-22,1996-01-21
317,1996-04-03,1996-05-03
233,1999-11-11,1999-11-26
386,1999-01-02,1999-01-15
482,1996-04-17,1996-05-06
538,2000-02-05,2000-02-17
273,1998-08-02,1998-08-16
511,1997-05-18,1997-06-02
933,1998-03-11,1998-03-22
730,1995-09-15,1995-10-08
608,1999-03-25,1999-04-04
221,1998-11-16,1998-12-11
909,1998-09-22,1998-10-07
28,1999-09-08,2017-12-28
838,1997-07-07,1997-07-09
195,1995-09-10,1995-09-27
786,1997-03-13,1997-04-02
822,1998-03-12,1998-03-21
461,1995-11-10,1995-12-04
952,1999-06-04,1999-07-03
567,2000-05-11,2017-12-29
711,1996-09-12,1996-09-25
207,1997-06-11,1997-06-28
298,1997-05-08,1997-06-04
662,1996-08-14,1996-09-08
243,1999-04-04,1999-04-16
116,1996-11-19,1996-12-16
851,1998-11-26,1998-12-09
196,1998-04-30,1998-05-30
258,1999-11-15,1999-11-18
762,2000-05-05,2000-05-24
447,1996-05-12,1996-06-01
706,2000-05-22,2000-05-31
498,1995-11-16,1995-11-19
350,1997-10-17,1997-11-04
237,1996-07-30,1996-08-19
890,1997-04-28,1997-05-24
753,1998-08-17,1998-08-21
513,1999-05-11,1999-05-26
736,1999-05-12,1999-05-23
873,1998-01-08,1998-01-26
931,1999-11-21,1999-12-01
685,1997-02-18,1997-03-14
